moonshotai/Kimi-K2-Instruct | text-generation | public
HuggingFaceTB/SmolLM3-3B | text-generation | public
THUDM/GLM-4.1V-9B-Thinking | image-text-to-text | public
black-forest-labs/FLUX.1-Kontext-dev | image-to-image | public
mistralai/Devstral-Small-2507 | text-generation | public
moonshotai/Kimi-K2-Base | text-generation | public
LiquidAI/LFM2-1.2B | text-generation | public
microsoft/Phi-4-mini-flash-reasoning | text-generation | public
apple/DiffuCoder-7B-cpGRPO | - | public
HuggingFaceTB/SmolLM3-3B-Base | text-generation | public
google/medgemma-27b-it | image-text-to-text | public
ChatDOC/OCRFlux-3B | image-to-text | public
black-forest-labs/FLUX.1-dev | text-to-image | public
kyutai/tts-1.6b-en_fr | text-to-speech | public
RekaAI/reka-flash-3.1 | - | public
NovelAI/nai-anime-v2 | text-to-image | public
tngtech/DeepSeek-TNG-R1T2-Chimera | text-generation | public
LiquidAI/LFM2-350M | text-generation | public
google/gemma-3n-E4B-it | image-text-to-text | public
deepseek-ai/DeepSeek-R1-0528 | text-generation | public
Skywork/Skywork-R1V3-38B | image-text-to-text | public
nanonets/Nanonets-OCR-s | image-text-to-text | public
LiquidAI/LFM2-700M | text-generation | public
meta-llama/Llama-3.1-8B-Instruct | text-generation | public
jinaai/jina-embeddings-v4 | visual-document-retrieval | public
deepseek-ai/DeepSeek-R1 | text-generation | public
google/medgemma-4b-it | image-text-to-text | public
microsoft/NextCoder-32B | text-generation | public
vrgamedevgirl84/Wan14BT2VFusioniX | text-to-video | public
hexgrad/Kokoro-82M | text-to-speech | public
agentica-org/DeepSWE-Preview | text-generation | public
google/medsiglip-448 | zero-shot-image-classification | public
Qwen/Qwen3-Embedding-0.6B | feature-extraction | public
Kijai/WanVideo_comfy | - | public
unsloth/Devstral-Small-2507-GGUF | text-generation | public
openai/whisper-large-v3 | automatic-speech-recognition | public
nvidia/OpenCodeReasoning-Nemotron-1.1-32B | text-generation | public
K-intelligence/Midm-2.0-Base-Instruct | text-generation | public
KurmaAI/AQUA-7B | text-generation | public
google/gemma-3n-E4B-it-litert-preview | image-text-to-text | public
tencent/Hunyuan-A13B-Instruct | text-generation | public
ggml-org/SmolLM3-3B-GGUF | - | public
Lightricks/LTX-Video | image-to-video | public
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B | text-generation | public
osmosis-ai/Osmosis-Apply-1.7B | text-generation | public
sentence-transformers/all-MiniLM-L6-v2 | sentence-similarity | public
mistralai/Mistral-7B-Instruct-v0.3 | text-generation | public
mistralai/Mistral-Small-3.2-24B-Instruct-2506 | image-text-to-text | public
unsloth/Hunyuan-A13B-Instruct-GGUF | - | public
OmniGen2/OmniGen2 | any-to-any | public
moonshotai/Kimi-Dev-72B | text-generation | public
LiquidAI/LFM2-1.2B-GGUF | text-generation | public
marcelbinz/Llama-3.1-Centaur-70B | text-generation | public
black-forest-labs/FLUX.1-schnell | text-to-image | public
stabilityai/stable-diffusion-3.5-large | text-to-image | public
moonshotai/Kimi-VL-A3B-Thinking-2506 | image-text-to-text | public
QuixiAI/Devstral-Vision-Small-2507 | - | public
microsoft/NextCoder-7B | text-generation | public
unsloth/DeepSeek-R1-0528-Qwen3-8B-GGUF | text-generation | public
tencent/Hunyuan3D-2.1 | image-to-3d | public
skt/A.X-4.0 | text-generation | public
Intelligent-Internet/II-Medical-32B-Preview | - | public
skt/A.X-3.1-Light | text-generation | public
dphn/Dolphin-Mistral-24B-Venice-Edition | - | public
ByteDance/XVerse | text-to-image | public
Menlo/Jan-nano | text-generation | public
zeroentropy/zerank-1-small | text-ranking | public
mistralai/Devstral-Small-2507_gguf | text-generation | public
meta-llama/Meta-Llama-3-8B-Instruct | text-generation | public
RekaAI/reka-flash-3.1-rekaquant-q3_k_s | - | public
MiniMaxAI/MiniMax-M1-80k | text-generation | public
BAAI/MTVCraft | text-to-video | public
mit-han-lab/nunchaku-flux.1-kontext-dev | - | public
ai21labs/AI21-Jamba-Mini-1.7 | - | public
ByteDance-Seed/Tar-7B | any-to-any | public
Owen777/Kontext-Style-Loras | image-to-image | public
BAAI/bge-m3 | sentence-similarity | public
Qwen/Qwen2.5-VL-7B-Instruct | image-text-to-text | public
google/medgemma-27b-text-it | text-generation | public
katanemo/Arch-Router-1.5B | text-generation | public
kyutai/tts-voices | - | public
AI-MO/Kimina-Prover-72B | text-generation | public
Alibaba-NLP/WebSailor-3B | - | public
coqui/XTTS-v2 | text-to-speech | public
Comfy-Org/Wan_2.1_ComfyUI_repackaged | - | public
FunAudioLLM/ThinkSound | video-to-video | public
Qwen/Qwen3-0.6B | text-generation | public
kontext-community/relighting-kontext-dev-lora-v3 | image-to-image | public
